Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
Block,2007,US and Finland,1,72.5,100,,,,,,6–12 weeks, ,,,,,,,,,,,,,,,,,,,,,,,,
,,USA,1,72.5,100,,,,,,,,,,,,,,,,,,,31.7,8.1,14.1,39496.5,NULL,88.5,2.5,0.4,40.3,NULL,1,5.2,79.6
,,Finland,1,72.5,100,,,,,,,,,,,,,,,,,,,17.1,4,10.9,32855.1,94.3,99,2.5,NULL,27.7,100,0,9.4,82.6
Vesikari,2009,Europe,1,68,98.3,95.6,,,,,,72,100,,58.5,94.3,,,,,,,13.8,,,,,,,,,,,,,
,,Belgium,1,68,98.3,95.6,,,,,,72,100,,58.5,94.3,,,,,,,,342.7,5.2,11,30587.7,99.5,85.6,2.5,NULL,28.1,NULL,0.3,8.5,97.3
,,Finland,1,68,98.3,95.6,,,,,,72,100,,58.5,94.3,,,,,,,,17.115,4,10.9,32855.1,94.3,99,2.5,NULL,27.7,100,0,9.4,82.6
,,Germany,1,68,98.3,95.6,,,,,,72,100,,58.5,94.3,,,,,,,,236.6,5,8.3,41531.9,99.8,96.5,2.5,NULL,30.2,99.5,0,8.4,77
,,Italy,1,68,98.3,95.6,,,,,,72,100,,58.5,94.3,,,,,,,,194.9,4.8,9.5,27465.7,88.1,NULL,2.5,0.2,34.9,99.1,0.8,6.7,67.5
,,Sweden,1,68,98.3,95.6,,,,,,72,100,,58.5,94.3,,,,,,,,21.8,3.9,11.1,37321.8,99.9,92.6,2.5,NULL,25.3,100,0.3,9.3,84.2
Grant ,2012,USA,1,77.1,89.5,89,,,,,6-12 weeks,,,,,,,,,,34.2,,,31.4,8.2,14.1,37133.2,NULL,88.4,2.5,0.4,40.4,NULL,1,5.3,79.4
